Food,Category
Clean metal bakeware,Recyclable
Electrical wires,Recyclable
Appliance cords,Recyclable
Holiday lights,Recyclable
Metal fence posts,Recyclable
Aluminum gutters and downspouts,Recyclable
Metal door knobs,Recyclable
Metal plumbing fixtures,Recyclable
License plates,Recyclable
Metal shelving units,Recyclable
Metal file cabinets,Recyclable
Metal desks,Recyclable
Empty and rinsed metal paint cans,Recyclable
Metal beverage containers,Recyclable
Rigid plastic packaging,Recyclable
Juice pouches,Recyclable
Prescription medicine bottles,Recyclable
Cosmetic containers,Recyclable
Garden hoses,Recyclable
Vinyl records,Recyclable
Plastic furniture,Recyclable
Window glass,Recyclable
Mirrors,Recyclable
Ceramics,Recyclable
Porcelain fixtures,Recyclable
Eyeshadow palettes,Recyclable
Mascara tubes,Recyclable
Lipstick cases,Recyclable
Plastic hangers,Recyclable
Hardcover diaries,Recyclable
Spiral notebooks,Recyclable
Wine corks,Recyclable
Plastic lumber,Recyclable
Construction signs,Recyclable
Traffic cones,Recyclable
Bicycle frames,Recyclable
Metal cookware,Recyclable
Barbecue grills,Recyclable
Metal patio furniture,Recyclable
Shopping carts,Recyclable
Chain link fencing,Recyclable
Metal barrels and drums,Recyclable
Auto glass,Recyclable
PET fabric and clothing,Recyclable
Plastic carpeting,Recyclable
Post-consumer resin products,Recyclable
HDPE lumber and outdoor furniture,Recyclable
Plastic shipping pallets,Recyclable
Plastic crates and bins,Recyclable
Polycarbonate sheets,Recyclable
Plastic signage,Recyclable
Retail display units,Recyclable
Motorcycle helmets,Recyclable
Fire extinguishers,Recyclable
Propane cylinders,Recyclable
Gasoline tanks,Recyclable
Solar panels,Recyclable
Wind turbine blades,Recyclable
Industrial filters,Recyclable
Plastic ropes and netting,Recyclable
Synthetic turf,Recyclable
Plastic tarps and covers,Recyclable
Acrylic sheets,Recyclable
Nylon fabrics,Recyclable
Polyethylene sheets and films,Recyclable
Fiberglass materials,Recyclable
Electric vehicle batteries,Recyclable
Industrial machinery,Recyclable
Railroad ties,Recyclable
Boat and marine craft,Recyclable
Aviation parts,Recyclable
Aerospace materials,Recyclable
Metal scaffolding,Recyclable
Metal wire and cables,Recyclable
Brass instruments,Recyclable
Aluminum ladders,Recyclable
Stainless steel appliances,Recyclable
Metal file folders and storage boxes,Recyclable
Electrical panels and circuit breakers,Recyclable
Metal bed frames,Recyclable
Bicycles and parts,Recyclable
Skateboards,Recyclable
Wooden pallets,Recyclable
Hard plastic tool cases,Recyclable
Metal toolboxes,Recyclable
Power supply units,Recyclable
Server racks,Recyclable
Industrial cables and connectors,Recyclable
Photographic film,Recyclable
X-ray film,Recyclable
Compact discs,Recyclable
VHS tapes,Recyclable
Floppy disks,Recyclable
Cassette tapes,Recyclable
Inkjet cartridges,Recyclable
3D printing filament spools,Recyclable
Plastic clipboards,Recyclable
Credit cards and gift cards,Recyclable
Plastic identification badges,Recyclable
Plastic watch bands,Recyclable
Acrylic paint containers,Recyclable
Plastic modeling kits,Recyclable
Model train sets,Recyclable
Action figures and toys,Recyclable
Plastic trophies and awards,Recyclable
Polystyrene models and packaging,Recyclable
Plastic labware,Recyclable
Clean plastic buckets with metal handles,Recyclable
Plastic irrigation pipes and tubes,Recyclable
Landscape fabric,Recyclable
Plastic seed trays and pots,Recyclable
Non-PVC blinds and shades,Recyclable
Water filters,Recyclable
Plastic sporting goods,Recyclable
Printer ribbons,Recyclable
Electronic circuit boards,Recyclable
Graphite from pencils,Recyclable
Silicone cases and products,Recyclable
Carbon fiber materials,Recyclable
Rubber soles from shoes,Recyclable
Neoprene wetsuits,Recyclable
EVA foam from running shoes midsoles,Recyclable
Electric cables and wire insulation,Recyclable
Polyvinyl chloride (PVC) pipes,Recyclable
Synthetic rubber items,Recyclable
Unused fireworks,Recyclable
Leather goods,Recyclable
Asphalt pavement,Recyclable
Billboards,Recyclable
Boat covers,Recyclable
Agricultural twine and netting,Recyclable
Industrial-grade plastics,Recyclable
Silicone kitchen utensils,Recyclable
Broken pottery and ceramics,Recyclable
Eyeglass lenses,Recyclable
Fiber optic cables,Recyclable
Lux meters and other specific electronic measuring devices,Recyclable
Radios and other small electronics,Recyclable
Empty deodorant containers,Recyclable
Ski and snowboard equipment,Recyclable
Pet carriers made of hard plastic,Recyclable
Plastic shipping envelopes,Recyclable
Medical plastic ware,Recyclable
Industrial drums,Recyclable
Plastic signage,Recyclable
Transit fare cards,Recyclable
Motorcycle parts,Recyclable
Bicycle inner tube valves,Recyclable
Metal watch cases,Recyclable
Metal picture frames,Recyclable
Trophies with metal components,Recyclable
Industrial metal cable trays,Recyclable
Aluminum window frames,Recyclable
Brass door handles and knobs,Recyclable
Copper wiring and plumbing fixtures,Recyclable
Zinc anodes from boats,Recyclable
Tin cans and containers,Recyclable
Metal tea and coffee tins,Recyclable
Stainless steel sinks,Recyclable
Cast iron cookware,Recyclable
Metal automotive parts,Recyclable
Metal engine parts,Recyclable
Metal shelving brackets,Recyclable
Metal tool parts,Recyclable
Antique metal toys,Recyclable
Metal lamp bases,Recyclable
Aluminum foil sheets,Recyclable
Metal food trays,Recyclable
Copper pots and pans,Recyclable
Scrap metal from home repairs,Recyclable
Metal gutters and downspouts,Recyclable
Metal costume jewelry,Recyclable
Metal keys,Recyclable
Brass musical instruments,Recyclable
Metal frames from patio furniture,Recyclable
Metal parts from dismantled appliances,Recyclable
Aluminum siding and cladding,Recyclable
Metal wheel rims,Recyclable
Metal bed springs,Recyclable
Metal coat hangers,Recyclable
Metal hair clips and barrettes,Recyclable
Metal binder clips,Recyclable
Metal paper fasteners,Recyclable
Metal nuts,Recyclable
Metal craft tools and supplies,Recyclable
Metal knitting needles,Recyclable
Metal crochet hooks,Recyclable
Metal thimbles,Recyclable
Metal zippers,Recyclable
Metal buttons,Recyclable
Metal hardware from furniture,Recyclable
Metal slide rules and drafting tools,Recyclable
Metal scientific lab stands,Recyclable
Metal baking molds,Recyclable
Metal ice cream scoops,Recyclable
Metal wine bottle racks,Recyclable
Metal bird cages,Recyclable
Metal pet crates,Recyclable
Metal storage tins,Recyclable
Metal license plate covers,Recyclable
Metal camping gear parts,Recyclable
Metal tent poles,Recyclable
Metal chains,Recyclable
Metal lock parts,Recyclable
Metal surgical tools,Recyclable
Metal dental tools,Recyclable
Metal optical frames,Recyclable
Metal art sculptures,Recyclable
Metal tool boxes,Recyclable
Metal ammunition boxes,Recyclable
Metal footlockers,Recyclable
Metal tea kettles,Recyclable
Metal coffee percolators,Recyclable
Metal beer kegs,Recyclable
Sponges and gauze,Garbage
Orthodontic appliances,Garbage
Chopsticks,Garbage
Heart rate monitors,Garbage
DVDs,Garbage
Fat and grease containers,Garbage
Helium tanks,Garbage
Waxed cardboard,Garbage
Incense sticks,Garbage
Weightlifting equipment,Garbage
Sports balms,Garbage
Burnishers,Garbage
Hoes,Garbage
Laminated pouches,Garbage
Cleaning chemicals,Garbage
Rehabilitation equipment,Garbage
Medical pumps,Garbage
Textiles,Garbage
Fishing nets (non-recyclable materials),Garbage
Electrical cords,Garbage
Matchsticks,Garbage
Lawn furniture (non-metal),Garbage
Biological waste containers,Garbage
Dog waste bags,Garbage
Fireplace ashes,Garbage
Metal utensils with plastic handles,Garbage
Ovenware,Garbage
Lab towels,Garbage
Mops,Garbage
Wax paper,Garbage
Feminine hygiene products,Garbage
Single-use plastic bowls,Garbage
garden hoses,Garbage
Medical gloves,Garbage
Curtains,Garbage
Sports braces,Garbage
Saws,Garbage
PVC lids,Garbage
Fertilizer bags (not empty),Garbage
Alkaline batteries,Garbage
Orthopedic wraps,Garbage
Empty chemical bottles (hazardous),Garbage
Cutters,Garbage
CDs,Garbage
Flexible multi-layered packaging,Garbage
Anesthesia equipment,Garbage
Washers,Garbage
Beverage cups,Garbage
Plastic crates,Garbage
Napkins,Garbage
Energy gel packets,Garbage
Medical waste bags,Garbage
Medical waste,Garbage
Pyrex dishes,Garbage
Drug delivery systems,Garbage
Chemical containers (hazardous waste),Garbage
Gym towels,Garbage
Planes,Garbage
Prosthetic limbs,Garbage
Cassettes,Garbage
Blades,Garbage
Polypropylene film,Garbage
Large tree stumps,Garbage
Toys,Garbage
Frozen food boxes (they have a lining or coating),Garbage
Napkins with food residue,Garbage
Cables and wires,Garbage
Wood shavings,Garbage
Non-recyclable plastic film,Garbage
Anesthesia masks,Garbage
Ammunition,Garbage
Mouthguards,Garbage
Toys (mixed materials),Garbage
IV bags and tubing,Garbage
Compact fluorescent light bulbs,Garbage
Solvent containers (not empty),Garbage
Fitness machines,Garbage
Household hazardous waste,Garbage
Used napkins,Garbage
Tampons,Garbage
Soil,Garbage
Butcher paper,Garbage
Synthetic fabrics (heavily soiled),Garbage
Biohazardous materials,Garbage
Empty solvent bottles,Garbage
Vaccine vials,Garbage
Metallic wrapping paper,Garbage
Nails,Garbage
Laminated cards,Garbage
Chisels,Garbage
PP drums,Garbage
Laboratory glassware,Garbage
Treadmills,Garbage
Sports nutrition packaging,Garbage
Polymer utensils,Garbage
Dental molds,Garbage
Pet waste and litter,Garbage
Pool chemicals,Garbage
Centrifuges,Garbage
Sports apparel,Garbage
Paper towels,Garbage
Non-rechargeable batteries (if not accepted in specific programs),Garbage
Surgical masks,Garbage
Resistance bands,Garbage
Sponges,Garbage
Ladles,Garbage
Disposable lighters,Garbage
Syringe filters,Garbage
Foil gift bags,Garbage
Mallets,Garbage
Garden waste,Garbage
IV bags,Garbage
Rollerblade wheels,Garbage
Wax residue,Garbage
Mechanical pencils,Garbage
Plastic pallets,Garbage
Surgical drapes,Garbage
Cutlery,Garbage
Ice cream wrappers,Garbage
PP pallets,Garbage
Pans,Garbage
Dental floss,Garbage
Coffee cups,Garbage
Polyethylene ponchos,Garbage
Solar lights,Garbage
Potato chip bags,Garbage
Automotive fluids,Garbage
PET bottles,Garbage
Athletic insoles,Garbage
Clock batteries,Garbage
Shoes,Garbage
Dead plants and flowers (if not compostable),Garbage
Sticky notes,Garbage
Latex gloves,Garbage
PE baskets,Garbage
Chains,Garbage
Wax paper,Garbage
Glued binding books,Garbage
Meat and cheese wrappers,Garbage
Expired vaccines,Garbage
Polystyrene foam egg cartons,Garbage
Bicycle helmets,Garbage
PET wrap,Garbage
Worn-out sports equipment,Garbage
Hammers,Garbage
Firearms,Garbage
Sports shoes,Garbage
Dead plants,Garbage
Bolts,Garbage
Soiled paper,Garbage
Single-use condiment containers,Garbage
Plastic bows and decorations,Garbage
Foil-sealed food containers,Garbage
Straws,Garbage
Water bottles,Garbage
Sample vials,Garbage
HDPE vials,Garbage
Protective gear,Garbage
Lab bench paper,Garbage
Bedding,Garbage
Handles,Garbage
Axes,Garbage
Pliers,Garbage
Exercise equipment,Garbage
Surgical instruments,Garbage
Wax-coated paper plates,Garbage
Electronics,Garbage
Adapters,Garbage
Disposable razors,Garbage
Blister packs (non-recyclable materials),Garbage
HDPE jars,Garbage
Batteries,Garbage
Polishers,Garbage
PVC syringes,Garbage
Computer peripherals (non-recyclable),Garbage
helmets,Garbage
Sneakers (non-recyclable materials),Garbage
Coal and charcoal,Garbage
Sawdust,Garbage
Ceramics,Garbage
Car batteries,Garbage
Contaminated fuel containers,Garbage
Thermal fax paper,Garbage
Needles,Garbage
Walking aids,Garbage
Resin dishes,Garbage
Renovation waste,Garbage
Renovation debris,Garbage
Catheters,Garbage
Small appliances,Garbage
Drinking glasses,Garbage
Disposable diapers,Garbage
Energy bar wrappers,Garbage
Ink cartridges (non-recyclable types),Garbage
PVC tarps,Garbage
Sports creams,Garbage
Incandescent light bulbs,Garbage
Medical waste,Garbage
Gym mats (non-recyclable materials),Garbage
Dirty paper,Garbage
X-ray films,Garbage
Medical ventilators,Garbage
Condiment packets,Garbage
Supplement bottles,Garbage
Charcoal,Garbage
Microscopes,Garbage
Pebbles,Garbage
Wiring,Garbage
Dishes,Garbage
Dialysis waste,Garbage
Aquariums,Garbage
Leaves,Garbage
Wax crayons,Garbage
Autoclave bags,Garbage
Halogen bulbs,Garbage
Tea light candles,Garbage
Laminated furniture,Garbage
Tiles,Garbage
Prosthetic components,Garbage
Rechargeable batteries,Garbage
Aerosol cans (not empty),Garbage
Orthopedic casting materials,Garbage
Pet waste,Garbage
Umbrellas,Garbage
Incandescent bulbs,Garbage
Motor oil containers (not emptied or cleaned),Garbage
Drug test kits,Garbage
Pipettes,Garbage
Paint cans with paint,Garbage
Dental prosthesis,Garbage
Leather goods,Garbage
Medical imaging equipment,Garbage
Demolition debris,Garbage
Soil samples,Garbage
Scientific instruments,Garbage
Construction debris,Garbage
Scrap metal,Garbage
Petri dishes,Garbage
Tar paper,Garbage
Sanitary pads,Garbage
Rubber gloves,Garbage
Orthopedic hardware,Garbage
PET canisters,Garbage
Scientific samples,Garbage
PVC crates,Garbage
PVC rolls,Garbage
Laboratory wipes,Garbage
Squeeze tubes for home and personal products,Garbage
Fertilizer bags,Garbage
Cotton swabs with plastic sticks,Garbage
Cat litter,Garbage
Staples,Garbage
Athletic tape,Garbage
PP bins,Garbage
Condoms,Garbage
Grass clippings,Garbage
Light bulbs (non-LED),Garbage
Tissue culture flasks,Garbage
Air freshener cartridges,Garbage
Plastic stirrers,Garbage
Bricks,Garbage
Pharmaceuticals,Garbage
Liner bags,Garbage
Window glass,Garbage
Oven mitts,Garbage
Painted wood,Garbage
Hoses,Garbage
Crutches,Garbage
Photographs,Garbage
Wound dressings,Garbage
Silicone baking sheets,Garbage
Cups,Garbage
Tools,Garbage
Gravel,Garbage
Buttons,Garbage
Grinders,Garbage
Bandages and medical tapes,Garbage
Remote control batteries,Garbage
Baby food pouches,Garbage
Single-serving snack containers,Garbage
Plastic-lined paper,Garbage
Tampons and applicators,Garbage
Plaster,Garbage
Biological culture containers,Garbage
HDPE barrels,Garbage
Tongs,Garbage
Pottery,Garbage
Cooking oil containers,Garbage
Aluminum foil,Garbage
Disposable masks,Garbage
Christmas lights,Garbage
PVC tanks,Garbage
Clamps,Garbage
Pesticides,Garbage
Wrappers,Garbage
Rigid plastic packaging (non-recyclable types),Garbage
Picks,Garbage
Facial tissues,Garbage
Stones,Garbage
Solidified paint containers,Garbage
Varnished wood,Garbage
Moldy paper,Garbage
Vinyl products,Garbage
Polystyrene plates,Garbage
Laminated paper,Garbage
Faux leather items,Garbage
Amalgam capsules,Garbage
Dental waste,Garbage
Fabric softener sheets,Garbage
Baby diapers,Garbage
Plastic tarps,Garbage
Diaper wipes,Garbage
Appliances,Garbage
Watches batteries,Garbage
Sports eyewear,Garbage
Plastic wrap,Garbage
Pet carriers (non-recyclable materials),Garbage
Dental instruments,Garbage
Window panes,Garbage
Synthetic cutlery,Garbage
Contaminated paper,Garbage
PP tubs,Garbage
Plastic-coated paper plates,Garbage
Dental impression materials,Garbage
Medical monitors,Garbage
Coffee pods,Garbage
Orthopedic implants,Garbage
Binders,Garbage
Acrylic bowls,Garbage
Vinyl aprons,Garbage
CD/DVDs (if not accepted locally),Garbage
Grill grates (non-metal),Garbage
Yard waste,Garbage
Fireworks remnants,Garbage
Pens and markers,Garbage
Gauze,Garbage
Porcelain fixtures,Garbage
Crystal glassware,Garbage
Credit cards,Garbage
Used tissues,Garbage
Safety glasses,Garbage
Wet wipes,Garbage
Laboratory gloves,Garbage
Individual drink bottles,Garbage
Bathroom ceramics ,Garbage
Frozen food bags,Garbage
Holiday decorations (non-recyclable materials),Garbage
Sleeping bags (non-recyclable materials),Garbage
Colostomy bags,Garbage
Plastic mesh produce bags,Garbage
Chromatography columns,Garbage
Pegs,Garbage
Mobility aids,Garbage
Dental handpieces,Garbage
Buffers,Garbage
Adult diapers,Garbage
MDF panels,Garbage
Food-soiled paper,Garbage
Polyethylene cups,Garbage
Synthetic sponges,Garbage
Insulation materials,Garbage
Biopsy containers,Garbage
Dental drills,Garbage
PE buckets,Garbage
Non-stick cookware,Garbage
Ash and soot,Garbage
Squeeze pouches,Garbage
Knobs,Garbage
Drywall,Garbage
Respiratory therapy equipment,Garbage
Bubble wrap,Garbage
Dumbbells (non-metal),Garbage
Dental burs,Garbage
Crimpers,Garbage
Weeds,Garbage
Protein powder containers,Garbage
Food-contaminated containers,Garbage
Scientific equipment,Garbage
Concrete,Garbage
Dials,Garbage
Party favors (non-recyclable materials),Garbage
Bandages and band-aids,Garbage
Fiberglass insulation,Garbage
Clothes,Garbage
Chemotherapy waste,Garbage
Tissues,Garbage
Crystal,Garbage
Sand,Garbage
PS tubes,Garbage
Food containers with food residue,Garbage
Blood tubes,Garbage
Sports bandages,Garbage
Gym mats,Garbage
HDPE containers,Garbage
Paint,Garbage
Single-use plastic plates,Garbage
Sports headbands,Garbage
Security tags and devices,Garbage
Roofing materials,Garbage
Microtiter plates,Garbage
PVC piping,Garbage
Nuts,Garbage
BBQ ashes,Garbage
Pressboard furniture,Garbage
Athletic supports,Garbage
Wood,Garbage
Extension cords,Garbage
Ceramic tiles,Garbage
Expired medications,Garbage
Exercise bikes,Garbage
Shears,Garbage
Tweezers,Garbage
LDPE bags,Garbage
Plastic ID cards,Garbage
Imitation stirrers,Garbage
Forceps,Garbage
Stand-up resealable pouch bags,Garbage
Nylon trays,Garbage
Chemical test kits,Garbage
Ashes,Garbage
Brackets,Garbage
Tents (mixed materials),Garbage
LED bulbs,Garbage
Stained paper,Garbage
Orthopedic instruments,Garbage
ABS tubes,Garbage
Gowns,Garbage
Hazardous waste containers,Garbage
Disposable face masks,Garbage
Patient monitors,Garbage
Chemical reagent bottles,Garbage
Fluorescent tubes,Garbage
Sanders,Garbage
Filthy paper,Garbage
Hooks,Garbage
Flares and flare guns,Garbage
Light bulbs,Garbage
Synthetic ropes,Garbage
Cleaning cloths,Garbage
Nicotine patches,Garbage
Clothes hangers,Garbage
Plastic toys with electronic components,Garbage
Disposable plastic tablecloths,Garbage
Candle jars,Garbage
Oxygen masks,Garbage
Soiled dressing,Garbage
PVC jugs,Garbage
Mounts,Garbage
Polystyrene foam cups,Garbage
Couplings,Garbage
Pots,Garbage
Levers,Garbage
Auto parts,Garbage
Building materials,Garbage
Fasteners,Garbage
Medication vials,Garbage
Rocks,Garbage
Disposable chopsticks,Garbage
Tarps (non-recyclable materials),Garbage
VHS tapes,Garbage
Gym clothing,Garbage
Paper with adhesive backing,Garbage
Nylon films,Garbage
Specimen swabs,Garbage
Wallpaper,Garbage
Video cassettes,Garbage
Asphalt shingles,Garbage
Fiberglass,Garbage
Paint cans (not empty),Garbage
Spatulas,Garbage
Fluorescent tubes (if not accepted in specific recycling),Garbage
Oil filters,Garbage
Receipts (thermal paper),Garbage
Endodontic files,Garbage
Surgical gloves,Garbage
Treated wood,Garbage
Insulation,Garbage
PC sheets,Garbage
Knives,Garbage
Laboratory filters,Garbage
Sharps containers,Garbage
Pesticide containers (not empty),Garbage
Screws,Garbage
Toothpaste tubes,Garbage
Coffee pods (non-compostable),Garbage
Rasps,Garbage
Pregnancy test kits,Garbage
diapers,Garbage
Specimen containers,Garbage
Contaminated pet bedding,Garbage
Artificial straws,Garbage
E-cigarette cartridges,Garbage
Metal scraps,Garbage
Button cell batteries,Garbage
Sports watches,Garbage
Product manuals (if laminated or coated),Garbage
Pharmaceutical waste containers,Garbage
Animal bedding,Garbage
Black plastic items,Garbage
Halogen light bulbs,Garbage
Printer cartridges (if not accepted in specific recycling programs),Garbage
Cling wrap, Garbage
Hydration packs,Garbage
Cigarette ashes,Garbage
Sports drink bottles,Garbage
Encyclopedias (if not accepted),Garbage
Pool covers (non-recyclable materials),Garbage
Blister packs,Garbage
Pins,Garbage
Latches,Garbage
Gift ribbon,Garbage
Carpets,Garbage
Spectrophotometry cuvettes,Garbage
Dental lab equipment,Garbage
Hearing aid batteries,Garbage
Propane tanks,Garbage
Joints,Garbage
Centrifuge tubes,Garbage
Shovels,Garbage
Personal hygiene products,Garbage
Wrenches,Garbage
Fireworks,Garbage
Switches,Garbage
Mercury thermometers,Garbage
Scissors,Garbage
Books (contaminated),Garbage
CFL bulbs,Garbage
Physiotherapy equipment,Garbage
Cables,Garbage
Hotel key cards,Garbage
Skateboard wheels,Garbage
Files,Garbage
Paint cans,Garbage
Toner cartridges (non-recyclable types),Garbage
Sports balls,Garbage
Candy wrappers,Garbage
Stumps,Garbage
Audio cassettes,Garbage
Clips,Garbage
Yoga mats (non-recyclable materials),Garbage
Synthetic fabric ribbons,Garbage
Metallic gift wrap and bows,Garbage
Wheelchairs,Garbage
Plastic straws,Garbage
Connectors,Garbage
Grease-proof paper,Garbage
Oilcloths,Garbage
Halloween costumes (mixed materials),Garbage
Food-stained paper bags,Garbage
Mirrors,Garbage
Laboratory coats,Garbage
syringes,Garbage
Polyester sheets,Garbage
Inflatable pools,Garbage
Wrapping around pre-packaged foods like meat and cheese,Garbage
Disposable vape pens,Garbage
Agar plates,Garbage
Blood bags,Garbage
Polystyrene foam (Styrofoam) take-out containers,Garbage
Orthopedic splints,Garbage
Non-woven fabrics,Garbage
Ropes,Garbage
Rakes,Garbage
Foil food wrap,Garbage
Used paper towels,Garbage
Electric toothbrush bases,Garbage
Carbon paper,Garbage
Pet food bags,Garbage
Diabetic test strips,Garbage
Forks,Garbage
Greasy paper towels,Garbage
Spiral-bound notebooks,Garbage
Gloves,Garbage
Biopsy needles,Garbage
Grips,Garbage
Hinges,Garbage
Pesticide containers,Garbage
Fittings,Garbage
Wax-coated paper,Garbage
Asbestos materials,Garbage
Fruit crates,Garbage
Parchment paper,Garbage
Pill packets,Garbage
Dirt,Garbage
Surgical gowns,Garbage
Particleboard,Garbage
PP caps,Garbage
Tree branches,Garbage
Artificial flowers (non-recyclable materials),Garbage
Cell phones (if not accepted in e-waste),Garbage
Scoops,Garbage
Tea bags (non-compostable),Garbage
Fitness equipment (with electronic components),Garbage
Stickers and sticker backing paper,Garbage
Retail packaging (mixed materials),Garbage
Rock samples,Garbage
Spoons,Garbage
Sports wristbands,Garbage
Tubing,Garbage
Fitness trackers,Garbage
Lithium batteries,Garbage
PVC packaging,Garbage
Makeup remover pads,Garbage
Wax-coated paper cups,Garbage
